fold_id,cv_tag,html_id,sent_id,text,tag
0,cv000,29590,0,"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before .",pos
6,cv617,9322,5,"williams is teri , a successful lawyer , who is frustrated by her husband miles attempts at a music career .",pos
6,cv617,9322,6,"fox is maxine , the strongest of the sisters , which can be confirmed by the stability of her marriage and the wisdom of her son ahmad , who narrates the film .",pos
6,cv617,9322,7,"long is bird , a hairdresser who is the last of the three to get married .",pos
6,cv617,9322,8,her husband lem is an intense passionate individual whose temper gets the best of him sometime but never stops loving .,pos
6,cv617,9322,9,"at the center of everything is irma p . hall , as big mama jo .",pos
6,cv617,9322,10,"every sunday , the family gathers together for dinner at mama jo's house .",pos
6,cv617,9322,11,"there is lots of conversation , lots of laughs , and the occasional controversy .",pos
6,cv617,9322,12,mama jo presides over the family like all mothers should .,pos
6,cv617,9322,13,"she is stern and disciplined , but also caring and forgiving .",pos
6,cv617,9322,14,"everything is going fine , until a tragedy befalls mama jo .",pos
6,cv617,9322,15,"all of a sudden , a chain reaction of events begin to destroy the family .",pos
6,cv617,9322,16,"it gets so bad , sunday dinner is even cancelled .",pos
6,cv617,9322,17,"without mama jo's guidance , there is noone to keep the family together , which frustrates ahmad .",pos
6,cv617,9322,18,"miles and maxine's marriage begins to fall apart , as he focuses on his music and flirts with the troublesome faith .",pos
6,cv617,9322,19,lem's temper gets the best of him when his convict past starts to catch up to him .,pos
6,cv617,9322,20,and teri tries to prevent maxine's efforts to sell mama jo's house .,pos
6,cv617,9322,21,the third act of the film deals with ahmad's attempts to patch things up .,pos
6,cv617,9322,22,"he decides to take over where mama jo left off , and tries to get the family back together for one more sunday dinner .",pos
6,cv617,9322,23,"the acting by everyone in the ensemble is outstanding , with special notices to irma p . hall and brandon hammond .",pos
6,cv617,9322,24,hall gives a performance that deserves to be recognized by the academy .,pos
6,cv617,9322,25,her mama jo is one of the most memorable characters i have ever encountered in a movie .,pos
6,cv617,9322,26,brandon hammond is an actor with a bright future .,pos
6,cv617,9322,27,"he is wise enough not to play cutesy and shows an admirable range and depth , and speaks the final lines of the movie on the perfect note .",pos
6,cv617,9322,28,tillman obviously based this movie on his own memories of growing up .,pos
6,cv617,9322,29,every scene in the movie is purposeful and convincing ( except maybe an odd flashback sequence ) .,pos
6,cv617,9322,30,the dialogue is beleiveable and funny .,pos
6,cv617,9322,31,and then there's the food .,pos
6,cv617,9322,32,"tillman gives us several close ups of the soul food , and it indeed looks very tasty .",pos
6,cv617,9322,33,i can see why sunday dinners became such a tradition for this family .,pos
6,cv617,9322,34,soul food is one of the most purely entertaining movies of the year .,pos
6,cv618,8974,0,director david fincher has such an eye for detail which is very rare in hollywood these days ( terry gilliam comes to mind as another one ) .,pos
6,cv618,8974,1,"film is one of the best art forms because not only can you tell a story , but you can use the camera to capture the smallest detail and have it mean something .",pos
6,cv618,8974,2,but most directors seem to go for action with the slightest ounce of a story .,pos
6,cv618,8974,3,"so whenever a director uses the camera to its fullest potential , the film almost automatically deserves a good review .",pos
6,cv618,8974,4,"and when they add a fascinating story to it , you have nearly perfect entertainment .",pos
6,cv618,8974,5,fincher's the game is no exception to this .,pos
6,cv618,8974,6,the game is one of the most interesting and complex films to come out of hollywood in a long time .,pos
6,cv618,8974,7,"fincher hasn't made a film since "" seven , "" his box office and critical hit which defied expectations and became one of the best movies ever .",pos
6,cv618,8974,8,so it is about time he made another film .,pos
6,cv618,8974,9,and what a ride it is .,pos
6,cv618,8974,10,"the game isn't quite as powerful as "" seven , "" but in some ways it is better .",pos
6,cv618,8974,11,"overall , the game could have used a little more clarity , or a little more uncertainty .",pos
6,cv618,8974,12,"it walks a line of insanity and reality , but it never goes either way until the very end .",pos
6,cv618,8974,13,"the outcome is satisfying enough for the preceding events , and it makes a lot of sense once everything is set straight .",pos
6,cv618,8974,14,"unfortunately , unlike "" the usual suspects , "" we are never given enough information to figure out for ourselves what is happening , whether it be true or false .",pos
6,cv618,8974,15,"however , this also gives the film a frightening aspect which the game uses to the fullest extent .",pos
6,cv618,8974,16,the game is told completely from its main character's point of view .,pos
6,cv618,8974,17,nicholas van orton ( michael douglas ) is a high-strung and isolated businessman .,pos
6,cv618,8974,18,"he lives alone in his giant mansion , divorced from his wife elizabeth , and is celebrating his 48th birthday ; the same age at which his father committed suicide at , in the same mansion .",pos
6,cv618,8974,19,"for his 48th birthday , conrad ( sean penn ) , the rebel of the family , gives nicholas a gift certificate to crs : consumer recreation services .",pos
6,cv618,8974,20,""" it will make your life fun again , "" his brother promises .",pos
6,cv618,8974,21,"as skeptical as nicholas is , he is somewhat intrigued , and annoyed by the lack of information--something this businessman hates .",pos
6,cv618,8974,22,"seeing a billboard in an office , he decides to visit the mysterious company .",pos
